id	question	choices	zeroshot_raw_output	fewshot_raw_output	gold_truth	zeroshot_text_answer	zeroshot_prob_answer	fewshot_text	fewshot_prob	statements
2f85d53721ccc8b3fa4cfc184186d124	The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?	"accelerate
putting together
working
construct
train"	 A	 A	A	A	C	 A	E	When you press the gas pedal in a car, the vehicle accelerates.
1272e693cf9152e7ac71095c643676b5	In the building where James worked there was a small mezzanine in the auditorium to make more space for seats.  Where might James work?	"theater
floors
concert hall
education
school"	 A	 A	A	A	D	 A	E	"Movie theaters show films on large screens, and people usually sit in rows of seats to watch.
The seating in a concert hall is arranged to provide optimal views and sound for the audience."
ea82f9e938cbfce85fb498ce46264253	What will a person do at work?	"cross street
draw attention to themselves
make money
falling down
come home"	 C	 C	C	C	E	 C	E	"People can make money by working at a job, where they receive a salary or hourly wage.
Starting a business is a common way to make money by selling goods or services."
f74b7f268d3c190a13f99ede6d2359e1	The advertisement came in the form of a pop-up, where did it appear?	"web page
store
la ville
bus
email"	 A	 A	A	A	C	 A	E	"Web pages often contain text, images, and links to other pages.
A web page might have interactive features like forms or buttons that users can click.
Spam emails are unwanted messages, often related to advertisements or scams."
4779be55f47a301debfc472e4fc2c7b6	What are you using if there are speakers strapped on your ears?	"take it all in
headphones
desktop
conference
concert"	 B	 B	B	B	E	 B	E	"Headphones come in various types, such as over-ear, on-ear, and in-ear.
Headphones can become uncomfortable after wearing them for a long period, especially over-ear models."
0a5c069836784c3d574828d85a20a074	I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up?	"file cabinet
nightstand
kitchen cabinet
office desk
the floor"	 A	 A	D	A	E	 A	E	People use file cabinets to store tax records, contracts, employee files, and other important documents.
26ce83b8e9a263079aa8cdbd5258d667	The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to?	"initiate
ignore
question
answer
ask"	 A	 A	A	A	E	 A	E	"When someone initiates a conversation, they are the first to speak or make contact.
In a meeting, a manager might initiate a discussion by introducing the topic to the group.
Ignoring someone means not paying attention to them or their actions.
To ask is to seek information or clarification from someone."
7bb87c6d8eab57d4e983f60025b1f0dc	What can eating hamburger cause immediately after eating it?	"tasty
health problems
eat cake
indigestion
gain weight"	 D	 D	D	D	E	 D	E	"A tasty meal can make people feel satisfied and happy.
Tasty food often makes people want to eat more of it.
Tasty food can sometimes be comforting or nostalgic, reminding people of home or childhood.
Spicy, greasy, or fatty foods can trigger indigestion in some people.
Eating high-calorie foods, like fast food or sweets, can contribute to weight gain."
2d33cde5e3987adc8fa2bca0af4dd3dd	Where is a human likely to go as a result of being hungry?	"eat in restaurant
make bread
have lunch
cook dinner
friends house"	 C	 A	A	C	E	 A	E	"Eating in a restaurant usually involves ordering food from a menu and being served by a waiter or waitress.
Restaurants provide a variety of food options, from casual fast food to fine dining.
The cost of eating in a restaurant is typically higher than cooking at home due to service and ambiance.
People might eat in a restaurant to try new cuisines or dishes they don't make at home.
People usually have lunch at work, school, or home, depending on their schedule.
Friends often offer drinks or food when you arrive at their house."
c865b3547c2a2e3c3916d7be6ab25752	If there is gum on your shoe where did it likely come from?	"shelf
movies
sidewalk
water fountain
table"	 C	 C	C	C	A	 C	E	"They provide a safe space for pedestrians to walk, separate from vehicle traffic.
People often use sidewalks for walking, jogging, or pushing strollers."
d0bda97a087904320216e4d0b8a08a8d	The man was giving assistance to a pan handler in the streets, how did he give assistance?	"feeling good
killing
law suits
out of pocket
feel loved"	 D	 A	D	D	E	 A	E	"Eating nourishing food or enjoying a favorite meal can contribute to feeling good.
Feeling loved often involves receiving affection, attention, and care from others.
Words of encouragement and kind gestures can make someone feel loved.
Physical touch, like hugs or holding hands, can convey feelings of love and comfort."
2f97a77d155cb99092e8a7c055737b03_1	In what country are the most fast food restaurants?	"new york
blocks of flats
center of town
america
big cities"	 D	 D	D	D	A	 D	E	America is a large country located in North America.
e69da59cbcf2a302e4523571eba8186b	The computer was difficult for he to understand at the store, so what did she sign up for to learn more?	"classroom
facebook
school
apartment
demonstration"	 C	 A	E	C	E	 A	E	"A classroom is a space where students gather to learn and interact with their teacher.
School is a place where children and young adults go to learn and receive an education."
75ac594b4fdbfba006e61315d1b2c815	Going public about a common problem can gain what for a celebrity?	"wide acceptance
a degree
pain
getting high
press coverage"	 E	 E	A	E	A	 E	E	"Wide acceptance means that something is recognized, agreed upon, or embraced by a large number of people or groups.
Press coverage is essential for holding public figures and institutions accountable for their actions."
8c8052980e357545398d27d1c3c832d8	What has a shelf that does not allow you to see what is inside of it?	"chest of drawers
stove
hold alcohol
bookcase
grocery store"	 A	 A	A	A	C	 A	E	"A chest of drawers is commonly used for storing clothes.
Chests of drawers usually have multiple drawers that can slide in and out.
Some bookcases have doors to protect books from dust and damage."
ede4d302fc2ffe07703158f83c1493f2	If there is a place that is hot and arid, what could it be?	"bland
lifeless
sandy
neutral
freezing"	 C	 C	B	C	A	 C	E	"A lifeless landscape, such as a desert or frozen tundra, can appear barren and devoid of life.
Sandy soil is often less fertile than other types of soil due to its poor ability to retain water."
