question_id,question,choices,answerKey,statements,isRelevant
2f85d53721ccc8b3fa4cfc184186d124,"The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?",accelerate,accelerate,"When you press the gas pedal in a car, the vehicle accelerates.",TRUE
,,,,Cycling downhill will naturally make you accelerate due to gravity.,
,,,,"To accelerate a project, you might need to add more resources or people.",
,,,,"When a plane takes off, it accelerates down the runway until it reaches the necessary speed to lift off.",
,,,,"If you want to accelerate a process, you could streamline or eliminate unnecessary steps.",
,,,,A race car accelerates faster than a regular car due to its powerful engine.,
,,,,You should accelerate gradually when driving in wet or icy conditions to maintain control of the vehicle.,
,,,,An athlete can accelerate by increasing their speed during a sprint.,
,,,,The Earth's rotation accelerates at the equator compared to the poles due to the planet's shape.,
,,,,"Technological advancements often accelerate progress in various fields, such as medicine or communication.",
,,putting together,,Putting together often involves combining smaller parts to create a whole.,
,,,,People usually put things together to achieve a specific purpose or function.,
,,,,Clear instructions can make putting things together easier and faster.,
,,,,"Tools may be required when putting together certain objects, like furniture or machinery.",
,,,,"Collaboration can make putting things together more efficient, especially for complex tasks.",
,,,,Putting things together incorrectly may lead to poor results or require redoing the task.,
,,,,Planning or organizing beforehand can simplify the process of putting things together.,
,,,,"When putting together ideas, creativity and logic play important roles.",
,,,,"Assembling something can be both a practical task and a fun activity, like puzzles or crafts.",
,,,,Putting things together often creates a sense of accomplishment or satisfaction.,
,,working,,Working typically involves effort aimed at achieving a goal or completing a task.,
,,,,"People often work to earn money, gain experience, or accomplish something meaningful.",
,,,,"Working efficiently requires focus, organization, and sometimes teamwork.",
,,,,Taking breaks during work can help maintain energy and productivity.,
,,,,The tools and methods used while working depend on the type of task.,
,,,,"Working can be physical, mental, or a combination of both.",
,,,,People often feel a sense of accomplishment when their work is completed successfully.,
,,,,"Poor working conditions can lead to stress, fatigue, or reduced effectiveness.",
,,,,Balancing work with rest and recreation is important for overall well-being.,
,,,,Continuous learning and adaptation can make working more effective and rewarding.,
,,construct,,To construct something means to build or assemble it from parts or materials.,
,,,,"Construction often requires tools, materials, and a clear plan or blueprint.",
,,,,Constructing something typically involves steps that must be followed in a specific order.,
,,,,"Physical constructs, like buildings or bridges, require structural integrity to ensure safety.",
,,,,"People can also construct abstract things, like ideas, arguments, or systems.",
,,,,Time and effort are essential to construct something durable and functional.,
,,,,Mistakes during the construction process may result in unstable or flawed outcomes.,
,,,,Constructing with high-quality materials often leads to better results.,
,,,,Collaboration and communication are important when constructing something as a group.,
,,,,Constructing something often brings a sense of achievement and tangible results.,
,,train,,A train is typically used for long-distance travel between cities or regions.,
,,,,Trains usually run on tracks made of steel or metal rails.,
,,,,"The sound of a train passing is often loud and distinctive, with a characteristic ""choo-choo"" sound.",
,,,,"A train's speed is generally slower than that of an airplane, but faster than that of a car on highways.",
,,,,"Trains can be used to transport people or freight, with passenger trains having carriages or compartments.",
,,,,"When a train approaches a level crossing, warning signals and lights often activate to alert drivers and pedestrians.",
,,,,"Train stations are common hubs in large cities, where passengers wait for trains to arrive or depart.",
,,,,"A train's journey might be delayed due to weather, signal issues, or technical malfunctions.",
,,,,A conductor or train operator is responsible for controlling the speed and safety of the train.,
,,,,"Train tickets are often required for passengers to board, with prices varying based on distance and class of service.",
1272e693cf9152e7ac71095c643676b5,In the building where James worked there was a small mezzanine in the auditorium to make more space for seats.  Where might James work?,theater,theater,"Theaters are typically places where people go to watch live performances, such as plays, musicals, or comedy shows.",
,,,,"Movie theaters show films on large screens, and people usually sit in rows of seats to watch.",TRUE
,,,,Theaters often have a stage where actors perform in front of an audience.,
,,,,Many theaters are designed with good acoustics so that everyone can hear the performance clearly.,
